level_0,Brands,Months,ARP,vs. Prior Period,Total Units,vs Prior Period unit,Total Sales ($),index
26,11:11,02/2020,7.06241657320631,0.026478915472433216,9864.588624,0.16973925582029367,69667.834186,30.0
27,11:11,03/2020,9.03798344817725,0.279729587527579,19101.379754,0.936358471911073,172637.954054,31.0
28,11:11,04/2020,10.281978079687,0.137640729112054,13929.993549,-0.270733647076833,143227.888321,32.0
29,11:11,05/2020,10.5022850480683,0.021426516053021,5948.690178,-0.572958152703018,62474.839912,33.0
30,11:11,06/2020,15.9723947156421,0.52084947633182,1533.28071,-0.742249022201472,24490.16471,34.0
31,11:11,07/2020,43.4227328698279,1.71861130675058,580.697567,-0.62127119762695,25215.47533,35.0
32,11:11,08/2020,52.3246091984656,0.205004976433049,466.127136,-0.197297935295121,24389.920228,36.0
33,11:11,09/2020,51.0650823917175,-0.0240714039921586,385.756736,-0.172421628763531,19698.699507,37.0
34,11:11,10/2020,41.0824358313343,-0.195488699769578,778.069669,1.01699567729648,31964.997249,38.0
35,11:11,11/2020,46.8616089277303,0.14067260081955,1366.190997,0.755872322790671,64021.908222,39.0
36,11:11,12/2020,42.1930264546184,-0.0996248865529088,3243.781658,1.37432516033481,136864.965309,40.0
37,11:11,01/2021,43.6186496847039,0.0337881244811591,1988.567935,-0.386959991559333,86738.648131,41.0
38,11:11,02/2021,35.015443605432,-0.197236873251693,2802.281319,0.409195667735636,98123.123492,42.0
39,11:11,03/2021,43.1548847066508,0.232452891156752,3499.558586,0.248824863611061,151023.047303,43.0
40,11:11,04/2021,37.8654411138158,-0.122568826884616,3889.224739,0.111347229493131,147267.210333,44.0
41,11:11,05/2021,34.8859466230751,-0.0786863800631547,3128.819958,-0.195515772944382,109151.846048,45.0
42,11:11,06/2021,36.7875004805428,0.0545077328132457,2281.53459,-0.270800295118803,83931.954826,46.0
43,11:11,07/2021,38.0942996189787,0.0355229118957687,1936.695768,-0.151143367938156,73777.068857,47.0
44,11:11,08/2021,42.2847101194379,0.110000985511533,1305.896702,-0.325708909175455,55219.46349,48.0
47,1964 Supply Co.,09/2018,10.6344590493738,0.026478915472433216,2395.534726,-0.184675121144868,25475.215945,52.0
48,1964 Supply Co.,10/2018,7.12610868372972,-0.32990398001022,1910.329288,-0.202545775159847,13613.214128,53.0
49,1964 Supply Co.,11/2018,10.7452375463291,0.507868883737708,502.8156,-0.736791136921521,5402.873064,54.0
50,1964 Supply Co.,12/2018,5.269047009424489,-0.509638852867934,2251.347983,3.4774823672933,11862.458357,55.0
51,1964 Supply Co.,01/2019,10.5513507557265,1.00251596481372,379.006944,-0.831653326424039,3999.035205,56.0
52,1964 Supply Co.,02/2019,10.711687506732,0.015195850722565,225.686193,-0.404532828295621,2417.479974,57.0
53,1964 Supply Co.,03/2019,8.96507862125655,-0.163056370378404,179.313911,-0.205472392367397,1607.56331,58.0
55,19Forty LA,03/2020,11.384713910772,0.026478915472433216,168.129504,0.16973925582029367,1914.106303,61.0
56,19Forty LA,04/2020,10.7788815850582,-0.0532145410470585,120.643846,-0.282435009146283,1300.40573,62.0
57,19Forty LA,05/2020,12.0632940153198,0.119160083550971,313.933883,1.60215413722802,3787.076732,63.0
58,19Forty LA,06/2020,15.3950721534994,0.276191406256735,229.00206,-0.270540478741506,3525.503237,64.0
59,19Forty LA,07/2020,14.1172383637436,-0.0830027801763414,194.51939,-0.150577990433798,2746.076595,65.0
60,19Forty LA,08/2020,17.4110913648529,0.233321342052897,135.953746,-0.301078694519863,2367.103093,66.0
61,19Forty LA,09/2020,16.488731101369,-0.0529754421567069,89.730375,-0.339993360683125,1479.540025,67.0
62,19Forty LA,10/2020,6.63034167538611,-0.597886481705337,148.760467,0.657860752281488,986.332724,68.0
63,19Forty LA,11/2020,10.7669425399653,0.623889547040314,52.607121,-0.646363566470923,566.417849,69.0
64,19Forty LA,12/2020,9.98006276873202,-0.0730829358764073,34.355322,-0.346945406877521,342.86827,70.0
66,1Lyfe,08/2019,9.63955075737163,0.026478915472433216,3847.845086,0.16973925582029367,37091.498013,73.0
67,1Lyfe,09/2019,13.4912319783324,0.399570614638371,20233.686084,4.25844612549976,272977.352736,74.0
68,1Lyfe,10/2019,13.1404529224006,-0.026000520671138,62311.735964,2.07960377092504,818804.432948001,75.0
69,1Lyfe,11/2019,13.7997569960516,0.0501736186373756,53759.003025,-0.137257176464178,741861.178095,76.0
70,1Lyfe,12/2019,13.7296580129447,-0.0050797259058194,69313.777738,0.289342693088384,951654.463928,77.0
71,1Lyfe,01/2020,13.5973090001128,-0.00963964380665,46838.903264,-0.32424829820924,636883.040907,78.0
72,1Lyfe,02/2020,13.847418280749,0.0183940278649372,41540.628734,-0.11311696390791,575230.461725,79.0
73,1Lyfe,03/2020,14.0025682934927,0.0112042555224414,34823.239733,-0.161706483645539,487614.792562,80.0
74,1Lyfe,04/2020,14.0516623286385,0.0035060736085568,24114.782373,-0.307508934898214,338852.779034,81.0
75,1Lyfe,05/2020,12.9720079447097,-0.0768346376875515,46958.75531,0.947301641941295,609149.346955,82.0
76,1Lyfe,06/2020,13.4174059092866,0.0343353138908963,33925.665145,-0.277543347964858,455194.419993,83.0
77,1Lyfe,07/2020,13.9228310363228,0.0376693625022127,29332.818845,-0.135379697947556,408395.880598,84.0
78,1Lyfe,08/2020,12.9412435940968,-0.0705020006107371,45710.887055,0.558353027594952,591555.724281,85.0
79,1Lyfe,09/2020,12.4276877781615,-0.0396836526722613,44881.957662,-0.0181341786695717,557778.956696,86.0
80,1Lyfe,10/2020,12.6058963458478,0.0143396399126959,35445.306228,-0.210254898083238,446819.856257,87.0
81,1Lyfe,11/2020,13.2520067516735,0.051254618323001,21451.749396,-0.394792944994952,284278.727831,88.0
82,1Lyfe,12/2020,12.8488228267936,-0.0304243676022112,24849.784629,0.158403642065371,319290.479982,89.0
83,1Lyfe,01/2021,10.9134332474408,-0.150627773878006,11773.070525,-0.526230480433996,128484.619292,90.0
84,1Lyfe,02/2021,10.9439403184927,0.0027953688230103,13691.576983,0.162957187245763,149839.801368,91.0
85,1Lyfe,03/2021,9.14941430430157,-0.163974396969141,28381.771617,1.07293664215889,259676.587214,92.0
86,1Lyfe,04/2021,8.80048695885756,-0.0381365772539078,42393.108328,0.493673788235529,373079.996986,93.0
87,1Lyfe,05/2021,10.0991791866988,0.147570496259205,21980.316199,-0.481512041322001,221983.151874,94.0
88,1Lyfe,06/2021,10.3426913368495,0.024112073431808,11901.133307,-0.458554954384986,123089.748353,95.0
89,1Lyfe,07/2021,10.6207694530697,0.026886436727489,6736.721893,-0.433942825509097,71549.170095,96.0
90,1Lyfe,08/2021,8.98914341318517,-0.153625972872701,14711.400528,1.18376248294981,132242.889155,97.0
92,215 Concentrates,12/2020,12.5543077394134,0.026478915472433216,1518.0259,0.16973925582029367,19057.764305,99.0
93,215 Concentrates,01/2021,12.1846078299896,-0.0294480521823693,2748.463795,0.810551318656684,33488.953477,100.0
94,215 Concentrates,02/2021,11.8653676899891,-0.0262002802597201,2663.935024,-0.0307549152198309,31608.568562,101.0
95,215 Concentrates,03/2021,11.9157441805241,0.0042456746264572,2731.3628,0.0253113440802891,32546.220389,102.0
96,215 Concentrates,04/2021,12.3978149661999,0.0404566243091807,2771.51731,0.014701272932326,34360.758785,103.0
97,215 Concentrates,05/2021,12.2889895958333,-0.0087777863005134,2606.931114,-0.0593848703041295,32036.549337,104.0
99,22 Red,06/2019,12.39462163552,0.026478915472433216,4617.727172,0.16973925582029367,57234.981113,107.0
100,22 Red,07/2019,16.6389838724005,0.342435804955685,2365.911802,-0.487645823610819,39366.368317,108.0
