Brands,Months,ARP,vs. Prior Period,Total Units,vs Prior Period unit,Total Sales ($),month,year,annual_avg
Herb & Zen,08/2021,5.98016169553222,-0.0318965458903824,24025.340259,-0.207755841328052,143675.419539,8,2021,6.322798353049278
HerbaBuena,10/2018,24.063389328081648,-0.06502848986459497,128.07234209384785,0.26744068756635836,3081.8546299635204,10,2018,41.510535190092284
HerbaBuena,11/2018,50.7300540639873,-0.5256581178145446,221.4783,-0.42173864394910077,11235.606133,11,2018,41.510535190092284
HerbaBuena,12/2018,49.7381621782079,-0.0195523522314469,220.370039,-0.0050039258925138,10960.800739,12,2018,41.510535190092284
HerbaBuena,1/2019,55.33330335056729,-0.06502848986459497,149.54534196457942,0.26744068756635836,8274.837771590393,1,2019,47.9603622103565
HerbaBuena,02/2019,50.9794545338854,0.0854039898325695,128.963538,0.159593977365753,6574.490822,2,2019,47.9603622103565
HerbaBuena,03/2019,52.4603332510614,0.0290485398621067,136.62012,0.0593701298734527,7167.137024,3,2019,47.9603622103565
HerbaBuena,04/2019,53.9161807832065,0.0277513969493435,146.067948,0.0691540016214304,7875.425891,4,2019,47.9603622103565
HerbaBuena,05/2019,50.5654545477232,-0.0621469508190193,61.711243,-0.57751687591312,3120.457053,5,2019,47.9603622103565
HerbaBuena,06/2019,52.8458749907172,0.045098387098286,43.952192,-0.287776588781399,2322.692044,6,2019,47.9603622103565
HerbaBuena,07/2019,19.621934015334475,-1.0,28690.23860679048,-1.0,378071.18583555694,7,2019,47.9603622103565
HerbaBuena,2/2020,29.809130071197337,-0.06502848986459497,16.20379916253418,0.26744068756635836,483.0211568835399,2,2020,47.48196769366152
HerbaBuena,03/2020,62.8431331719149,-0.5256581178145446,28.021584,-0.42173864394910077,1760.964135,3,2020,47.48196769366152
HerbaBuena,04/2020,63.75,0.0144306431317524,69.938464,1.49587832008355,4458.57708,4,2020,47.48196769366152
HerbaBuena,05/2020,19.621934015334475,-1.0,28690.23860679048,-1.0,378071.18583555694,5,2020,47.48196769366152
HerbaBuena,06/2020,55.9465907427764,-0.5256581178145446,47.35005,-0.42173864394910077,2649.073869,6,2020,47.48196769366152
HerbaBuena,07/2020,45.4439999990911,-0.18772530379863,22.004455,-0.535281272142268,999.970453,7,2020,47.48196769366152
HerbaBuena,08/2020,48.1649999872567,0.0598758909475405,34.527936,0.569133886751569,1663.038037,8,2020,47.48196769366152
HerbaBuena,09/2020,46.3600000286191,-0.0374753443188039,16.772032,-0.514247477752507,777.551404,9,2020,47.48196769366152
HerbaBuena,10/2020,51.911000015131,0.119736841740406,40.31449,1.40367356799701,2092.765491,10,2020,47.48196769366152
HerbaBuena,11/2020,47.8176166285441,-0.0788538726935296,23.912328,-0.406855252292662,1143.430533,11,2020,47.48196769366152
HerbaBuena,12/2020,50.6332399704116,0.0588825529247885,19.974025,-0.164697598661243,1011.349601,12,2020,47.48196769366152
HerbaBuena,1/2021,48.23166090631989,-0.06502848986459497,83.83466271733857,0.26744068756635836,4043.485024378372,1,2021,50.753846417828186
HerbaBuena,02/2021,53.2992857191803,-0.0950786627715871,80.702013,0.0388174916694901,4301.359649,2,2021,50.753846417828186
HerbaBuena,03/2021,54.8508332275253,0.0291100994583637,48.20052,-0.402734600932445,2643.838684,3,2021,50.753846417828186
HerbaBuena,04/2021,49.4260000198231,-0.0989015642697651,41.36593,-0.141794943291068,2044.552457,4,2021,50.753846417828186
