Products,Months,Total Sales ($)
Fun Uncle - Shotgun OG - Flower (Gram),Sep-20,"564,645.05"
"Papa & Barkley - Releaf Tincture - CBD Rich - 30:1 - 30ml, 30mg THC, 870mg CBD",Feb-19,"564,606.61"
"Infused Pre Roll - Strain Blends - Infused Pre-Rolled, 1.00g, 1 Pack",Mar-21,"564,197.34"
"Plus Products - Gummies - Indica - Unwind - Blackberry Lemon, 20 Count, 90mg THC, 10mg CBD",May-20,"563,626.42"
Stiiizy - Vape Pen,Jun-20,"563,482.54"
"Papa & Barkley - Releaf Balm - CBD Rich - 3:1 - 15ml, 45mg THC, 135mg CBD",Feb-19,"559,923.67"
Pacific Stone - Private Reserve OG - Flower (Gram),Oct-20,"558,991.45"
Concentrate - Strain Blends - Oil Cartridge,Jan-21,"558,064.00"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC",Feb-20,"557,975.45"
"Kiva Confections - Camino Gummy - Sparkling Pear, 20 Count, 40mg THC, 120mg CBD",Sep-20,"557,083.92"
Connected Cannabis Co. - Biscotti - Flower (Gram),Mar-20,"556,478.25"
"Papa & Barkley - Releaf Balm - CBD Rich - 3:1 - 15ml, 45mg THC, 135mg CBD",Aug-19,"556,045.27"
"Kiva Confections - Camino Gummy - Wild Cherry, 20 Count, 100mg THC",Sep-20,"555,860.46"
"Kiva Confections - Camino Gummy - Wild Cherry, 20 Count, 100mg THC",Jun-20,"555,853.42"
"Kiva Confections - Camino Gummy - Sparkling Pear, 20 Count, 40mg THC, 120mg CBD",Sep-21,"555,539.94"
Pacific Stone - 805 Glue - Flower (Gram),May-20,"555,403.45"
Connected Cannabis Co. - Biscotti - Flower (Gram),Jun-20,"555,221.97"
"Stiiizy - Pineapple Express - Distillate Cartridge, 1000mg",Mar-21,"554,253.26"
Concentrate - Strain Blends - Live Resin,Nov-20,"554,202.21"
"Infused Pre Roll - Strain Blends - Infused Pre-Rolled, 1.00g, 1 Pack",Aug-20,"554,183.23"
Connected Cannabis Co. - Gushers - Flower (Gram),Jan-20,"552,452.52"
"Level - ProTab - Indica, 10 Count, 250mg THC",Mar-20,"552,000.51"
"Stiiizy - Blue Dream - Distillate Cartridge, Blueberry, 1000mg",Sep-21,"551,878.03"
"Papa & Barkley - Releaf Tincture - CBD Rich - 30:1 - 30ml, 30mg THC, 870mg CBD",Oct-18,"551,400.83"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC",Apr-20,"551,207.09"
"Stiiizy - Skywalker OG - Distillate Cartridge, 1000mg",Feb-21,"550,805.09"
"Infused Pre Roll - Strain Blends - Infused Pre-Rolled, 1.00g, 1 Pack",Jul-19,"550,572.32"
"Infused Pre Roll - Strain Blends - Infused Pre-Rolled, 1.00g, 1 Pack",Dec-20,"550,018.25"
"Plus Products - Gummies - Indica - Unwind - Blackberry Lemon, 20 Count, 90mg THC, 10mg CBD",Dec-19,"549,342.10"
Fun Uncle - Shotgun OG - Flower (Gram),May-21,"548,224.24"
Connected Cannabis Co. - Gelonade - Flower (Gram),Mar-20,"547,945.42"
Pacific Stone - 805 Glue - Flower (Gram),Jun-20,"547,093.88"
"Kiva Confections - Terra Bites - Espresso, 20 Count, 100mg THC",Apr-19,"547,003.91"
Fun Uncle - Shotgun OG - Flower (Gram),Jun-21,"546,416.68"
Private Label - Vape Pen,Jan-19,"546,221.36"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC",Jul-19,"545,617.17"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC",Oct-20,"545,369.69"
Stiiizy - Vape Pen,May-20,"545,226.09"
Source Cannabis - Quest - Flower (Gram),Jul-20,"544,336.36"
"Kiva Confections - Camino Gummy - Sparkling Pear, 20 Count, 40mg THC, 120mg CBD",May-20,"544,236.19"
"Plus Products - Gummies - Indica - Unwind - Blackberry Lemon, 20 Count, 90mg THC, 10mg CBD",Jul-20,"544,117.27"
"Care By Design  - 1:1 - CBD Drops - 15ml, 240mg THC, 240mg CBD",May-19,"543,933.82"
Fun Uncle - Shotgun OG - Flower (Gram),Nov-20,"542,731.11"
"Kiva Confections - Camino Gummy - Sparkling Pear, 20 Count, 40mg THC, 120mg CBD",May-21,"542,473.39"
"Papa & Barkley - Releaf Balm - CBD Rich - 3:1 - 50ml, 150mg THC, 450mg CBD",Aug-19,"540,931.63"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC",Apr-21,"539,661.42"
Concentrate - Strain Blends - Live Resin,Apr-21,"539,009.66"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC",Sep-19,"539,009.64"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC",Feb-21,"537,355.49"
Connected Cannabis Co. - Gelonade - Flower (Gram),Aug-20,"536,771.86"
"Papa & Barkley - Releaf Balm - CBD Rich - 3:1 - 50ml, 150mg THC, 450mg CBD",Mar-19,"536,555.28"
"Kiva Confections - Terra Bites - Espresso, 20 Count, 100mg THC",Oct-18,"535,608.29"
THC Design - Crescendo - Flower (Gram),Dec-20,"535,544.55"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC",Jan-21,"535,494.12"
"Kiva Confections - Camino Gummy - Wild Cherry, 20 Count, 100mg THC",Sep-21,"535,114.31"
"Kiva Confections - Camino Gummy - Wild Cherry, 20 Count, 100mg THC",May-21,"533,916.58"
Concentrate - Strain Blends - Oil Cartridge,Mar-21,"533,650.59"
"Kiva Confections - Terra Bites - Blueberry, 20 Count, 100mg THC",Dec-19,"532,769.93"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC",Mar-19,"532,596.78"
Source Cannabis - Quest - Flower (Gram),Aug-19,"532,436.65"
"Sublime Canna - Mini Fuzzies - Super Silver Haze - Sativa - Infused Pre-Rolled, 0.80g, 3 Pack",Oct-20,"532,023.84"
Private Label - Vape Pen,Sep-19,"532,013.15"
"Papa & Barkley - Releaf Balm - CBD Rich - 3:1 - 15ml, 45mg THC, 135mg CBD",Jul-19,"530,466.37"
"Kiva Confections - Camino Gummy - Sparkling Pear, 20 Count, 40mg THC, 120mg CBD",Mar-20,"529,528.48"
"Kiva Confections - Terra Bites - Espresso, 20 Count, 100mg THC",Nov-18,"529,297.13"
"Papa & Barkley - Releaf Balm - CBD Rich - 3:1 - 15ml, 45mg THC, 135mg CBD",Jan-19,"528,499.10"
Caliva - Alien OG - Flower (Gram),Dec-20,"528,437.96"
"Kiva Confections - Camino Gummy - Wild Cherry, 20 Count, 100mg THC",Dec-20,"528,383.30"
Connected Cannabis Co. - Biscotti - Flower (Gram),Jan-20,"528,204.33"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC",Nov-20,"527,582.42"
Caliva - Alien OG - Flower (Gram),Jun-21,"526,751.77"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC",May-21,"526,617.41"
"Kiva Confections - Camino Gummy - Wild Cherry, 20 Count, 100mg THC",Mar-21,"526,355.63"
"Care By Design  - 1:1 - CBD Drops - 15ml, 240mg THC, 240mg CBD",Apr-19,"526,005.37"
"Infused Pre Roll - Strain Blends - Infused Pre-Rolled, 1.00g, 1 Pack",May-19,"525,624.65"
"Kiva Confections - Terra Bites - Blueberry, 20 Count, 100mg THC",Aug-19,"523,427.57"
Concentrate - Strain Blends - Live Resin,Jan-21,"523,056.31"
"Kiva Confections - Terra Bites - Espresso, 20 Count, 100mg THC",Jan-19,"522,711.41"
"Plus Products - Gummies - Indica - Unwind - Blackberry Lemon, 20 Count, 90mg THC, 10mg CBD",Feb-20,"521,942.56"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC",May-19,"521,868.22"
"Kiva Confections - Camino Gummy - Sparkling Pear, 20 Count, 40mg THC, 120mg CBD",Jun-21,"521,513.03"
"Stiiizy - Pineapple Express - Distillate Cartridge, 1000mg",Apr-21,"521,269.85"
"Papa & Barkley - Releaf Balm - CBD Rich - 3:1 - 15ml, 45mg THC, 135mg CBD",Jun-19,"521,013.65"
"Kiva Confections - Camino Gummy - Wild Cherry, 20 Count, 100mg THC",Aug-21,"520,954.94"
"Kiva Confections - Camino Gummy - Sparkling Pear, 20 Count, 40mg THC, 120mg CBD",Dec-19,"519,567.08"
Concentrate - Strain Blends - Distillate Cartridge,Oct-19,"518,309.48"
"Kiva Confections - Camino Gummy - Wild Cherry, 20 Count, 100mg THC",Feb-21,"517,337.13"
"Kiva Confections - Terra Bites - Blueberry, 20 Count, 100mg THC",Jun-19,"516,041.19"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC",Sep-20,"516,027.40"
Source Cannabis - Quest - Flower (Gram),Jul-19,"515,437.72"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC",Sep-19,"513,942.17"
"Kiva Confections - Camino Gummy - Wild Cherry, 20 Count, 100mg THC",Jun-21,"513,867.39"
Private Label - Vape Pen,Oct-19,"513,419.84"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC",Oct-19,"513,205.23"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC",Jul-21,"511,260.28"
"Stiiizy - Blue Dream - Distillate Cartridge, Blueberry, 1000mg",Nov-20,"510,791.43"
"Infused Pre Roll - Strain Blends - Infused Pre-Rolled, 1.00g, 1 Pack",Mar-19,"510,550.47"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC",Nov-19,"510,323.10"
"Kiva Confections - Camino Gummy - Sparkling Pear, 20 Count, 40mg THC, 120mg CBD",Feb-21,"510,175.91"
"Kiva Confections - Camino Gummy - Sparkling Pear, 20 Count, 40mg THC, 120mg CBD",Aug-21,"509,993.73"
"Kiva Confections - Camino Gummy - Watermelon Lemonade, 20 Count, 100mg THC",Dec-19,"508,934.20"
"Stiiizy - Blue Dream - Distillate Cartridge, Blueberry, 1000mg",Jan-21,"508,222.75"
"Wyld - Gummies - 1:1 - Hybrid - Pomegranate, 10 Count, 100mg THC, 100mg CBD",Oct-19,"508,113.49"
"Kiva Confections - Camino Gummy - Sparkling Pear, 20 Count, 40mg THC, 120mg CBD",Apr-19,"508,073.58"
"Papa & Barkley - Releaf Balm - CBD Rich - 3:1 - 15ml, 45mg THC, 135mg CBD",Sep-19,"507,296.37"
"Papa & Barkley - Releaf Balm - CBD Rich - 3:1 - 50ml, 150mg THC, 450mg CBD",Oct-19,"507,048.47"
Connected Cannabis Co. - Biscotti - Flower (Gram),Jan-21,"506,423.74"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC",Jun-19,"506,243.65"
"Sublime Canna - Mini Fuzzies - OG Kush - Indica - Infused Pre-Rolled, 0.80g, 3 Pack",Oct-20,"506,062.25"
Connected Cannabis Co. - Gelonade - Flower (Gram),Jan-20,"505,195.39"
"Stiiizy - Pineapple Express - Distillate Cartridge, 1000mg",Dec-20,"505,086.22"
Fun Uncle - Shotgun OG - Flower (Gram),Mar-21,"503,801.56"
"Papa & Barkley - Releaf Balm - CBD Rich - 3:1 - 50ml, 150mg THC, 450mg CBD",Feb-19,"503,529.27"
"Stiiizy - Skywalker OG - Distillate Cartridge, 1000mg",Aug-20,"503,312.19"
"Papa & Barkley - Releaf Balm - CBD Rich - 3:1 - 50ml, 150mg THC, 450mg CBD",Sep-19,"502,830.79"
"Papa & Barkley - Releaf Balm - CBD Rich - 3:1 - 50ml, 150mg THC, 450mg CBD",Nov-18,"500,480.34"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC",Aug-19,"500,081.13"
"Sublime Canna - Mini Fuzzies - OG Kush - Indica - Infused Pre-Rolled, 0.80g, 3 Pack",May-20,"499,639.63"
Concentrate - Strain Blends - Oil Cartridge,Oct-18,"499,628.66"
"Stiiizy - Blue Dream - Distillate Cartridge, Blueberry, 1000mg",Feb-21,"498,901.25"
Connected Cannabis Co. - Biscotti - Flower (Gram),Aug-19,"498,066.07"
"Kiva Confections - Terra Bites - Blueberry, 20 Count, 100mg THC",Jul-19,"497,504.36"
"Care By Design  - 1:1 - CBD Drops - 15ml, 240mg THC, 240mg CBD",Jan-19,"497,438.65"
Caliva - Alien OG - Flower (Gram),Jan-21,"496,105.71"
"Stiiizy - Skywalker OG - Distillate Cartridge, 1000mg",Sep-20,"495,399.22"
"Kiva Confections - Camino Gummy - Sparkling Pear, 20 Count, 40mg THC, 120mg CBD",Dec-20,"494,982.56"
"Plus Products - Gummies - Indica - Unwind - Blackberry Lemon, 20 Count, 90mg THC, 10mg CBD",Jun-20,"494,918.54"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC",Sep-19,"494,863.06"
"Kiva Confections - Camino Gummy - Sparkling Pear, 20 Count, 40mg THC, 120mg CBD",May-19,"494,615.28"
Private Label - Vape Pen,Nov-19,"493,309.08"
"Care By Design  - 1:1 - CBD Drops - 15ml, 240mg THC, 240mg CBD",Aug-19,"492,477.31"
Concentrate - Strain Blends - Oil Cartridge,Dec-20,"492,189.41"
"Kiva Confections - Terra Bites - Blueberry, 20 Count, 100mg THC",Mar-20,"492,140.64"
Private Label - Vape Pen,Jul-20,"491,998.36"
Concentrate - Strain Blends - Oil Cartridge,Aug-20,"491,988.96"
"Kiva Confections - Camino Gummy - Midnight Blueberry, 20 Count, 100mg THC",Feb-20,"491,653.44"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC",Aug-19,"491,425.95"
Fun Uncle - Shotgun OG - Flower (Gram),Aug-20,"491,215.21"
"Care By Design  - 1:1 - CBD Drops - 15ml, 240mg THC, 240mg CBD",Jul-19,"490,680.54"
Concentrate - Strain Blends - Oil Cartridge,Apr-21,"488,469.22"
Connected Cannabis Co. - Biscotti - Flower (Gram),May-20,"487,881.54"
"Sublime Canna - Mini Fuzzies - Super Silver Haze - Sativa - Infused Pre-Rolled, 0.80g, 3 Pack",May-20,"487,624.50"
"Kiva Confections - Camino Gummy - Midnight Blueberry, 20 Count, 100mg THC",Mar-20,"487,226.88"
"Level - ProTab - Sativa, 10 Count, 250mg THC",Mar-20,"486,703.85"
Source Cannabis - Quest - Flower (Gram),Jun-20,"486,407.82"
Private Label - Vape Pen,Oct-20,"486,243.29"
Source Cannabis - Quest - Flower (Gram),Oct-19,"486,056.44"
"Kiva Confections - Camino Gummy - Sparkling Pear, 20 Count, 40mg THC, 120mg CBD",Mar-21,"485,364.74"
"Stiiizy - Pineapple Express - Distillate Cartridge, 1000mg",Jan-21,"485,057.80"
"Papa & Barkley - Releaf Balm - CBD Rich - 3:1 - 15ml, 45mg THC, 135mg CBD",Oct-18,"483,773.82"
Fun Uncle - Shotgun OG - Flower (Gram),Feb-21,"483,632.56"
"Stiiizy - Skywalker OG - Distillate Cartridge, 1000mg",Dec-20,"483,361.74"
"Kiva Confections - Terra Bites - Blueberry, 20 Count, 100mg THC",Sep-19,"482,973.06"
Connected Cannabis Co. - Gelonade - Flower (Gram),May-20,"482,926.71"
"Care By Design  - 1:1 - CBD Drops - 15ml, 240mg THC, 240mg CBD",Jun-19,"482,167.21"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC",Aug-19,"481,703.24"
"Stiiizy - Skywalker OG - Distillate Cartridge, 1000mg",Jan-21,"481,574.24"
"Kiva Confections - Terra Bites - Espresso, 20 Count, 100mg THC",May-19,"481,430.96"
"Wyld - Gummies - Hybrid - Huckleberry, 10 Count, 100mg THC",Oct-19,"480,403.99"
Connected Cannabis Co. - Gushers - Flower (Gram),Dec-19,"479,979.90"
"Level - ProTab - Indica, 10 Count, 250mg THC",Jul-20,"479,768.66"
"Kiva Confections - Camino Gummy - Wild Cherry, 20 Count, 100mg THC",Jul-20,"479,010.45"
Private Label - Vape Pen,Dec-20,"479,004.35"
"Kiva Confections - Camino Gummy - Sparkling Pear, 20 Count, 40mg THC, 120mg CBD",Apr-20,"478,891.62"
Source Cannabis - Quest - Flower (Gram),Jul-21,"478,788.63"
Connected Cannabis Co. - Gelonade - Flower (Gram),Apr-20,"478,711.98"
Concentrate - Strain Blends - Oil Cartridge,Feb-21,"477,336.17"
THC Design - Crescendo - Flower (Gram),Mar-21,"477,225.75"
"Kiva Confections - Terra Bites - Espresso, 20 Count, 100mg THC",Mar-19,"476,856.47"
"Kiva Confections - Camino Gummy - Wild Cherry, 20 Count, 100mg THC",May-20,"476,603.69"
Concentrate - Strain Blends - Live Resin,Sep-20,"475,906.02"
Stiiizy - Vape Pen,Apr-20,"475,886.58"
"Kiva Confections - Camino Gummy - Midnight Blueberry, 20 Count, 100mg THC",May-20,"475,662.96"
Connected Cannabis Co. - Biscotti - Flower (Gram),Dec-20,"474,802.35"
Concentrate - Strain Blends - Oil Cartridge,Dec-19,"474,425.19"
"Care By Design  - 1:1 - CBD Drops - 15ml, 240mg THC, 240mg CBD",Nov-18,"474,060.87"
"Infused Pre Roll - Strain Blends - Infused Pre-Rolled, 1.00g, 1 Pack",Nov-20,"472,680.99"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC",Apr-19,"472,184.04"
"Care By Design  - 18:1 - CBD Drops - 15ml, 15mg THC, 300mg CBD",Oct-19,"471,821.52"
Connected Cannabis Co. - Gelonade - Flower (Gram),May-21,"471,544.52"
"Stiiizy - Skywalker OG - Distillate Cartridge, 1000mg",Apr-21,"470,989.94"
"Kiva Confections - Camino Gummy - Sparkling Pear, 20 Count, 40mg THC, 120mg CBD",Oct-20,"470,913.36"
Source Cannabis - Quest - Flower (Gram),Aug-20,"470,812.73"
"Sublime Canna - Mini Fuzzies - Super Silver Haze - Sativa - Infused Pre-Rolled, 0.80g, 3 Pack",Dec-20,"469,949.13"
Caliva - Alien OG - Flower (Gram),Sep-20,"469,873.61"
Concentrate - Strain Blends - Oil Cartridge,May-21,"469,802.50"
"Kiva Confections - Camino Gummy - Wild Cherry, 20 Count, 100mg THC",Aug-20,"469,722.83"
Caliva - Alien OG - Flower (Gram),Aug-20,"469,698.93"
Private Label - Vape Pen,Jan-21,"469,570.30"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC",Jul-19,"468,961.36"
Up North Humboldt - Durban Poison - Flower (Gram),Dec-19,"467,948.57"
"Heavy Hitters - Blue Dream - Distillate Cartridge, 1000mg",May-20,"467,130.34"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC",Jun-19,"467,120.55"
THC Design - Crescendo - Flower (Gram),Nov-20,"466,877.60"
"Level - ProTab - Sativa, 10 Count, 250mg THC",May-20,"466,679.85"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC",Jun-21,"466,155.02"
Connected Cannabis Co. - Gelonade - Flower (Gram),Oct-20,"465,903.13"
"Care By Design  - 1:1 - CBD Drops - 15ml, 240mg THC, 240mg CBD",Sep-19,"465,389.80"
"Kiva Confections - Terra Bites - Blueberry, 20 Count, 100mg THC",Jan-20,"465,006.71"
"Level - ProTab - Indica, 10 Count, 250mg THC",Jun-20,"464,610.91"
"Kiva Confections - Camino Gummy - Wild Cherry, 20 Count, 100mg THC",Oct-20,"464,221.47"
THC Design - Crescendo - Flower (Gram),Jul-21,"464,169.66"
"Level - ProTab - Indica, 10 Count, 250mg THC",May-20,"463,862.37"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC",Oct-19,"463,741.65"
Private Label - Vape Pen,Aug-20,"462,855.19"
Pacific Stone - 805 Glue - Flower (Gram),Dec-19,"462,803.35"
Private Label - Vape Pen,Sep-20,"462,135.25"
THC Design - Crescendo - Flower (Gram),Feb-21,"461,993.95"
"Care By Design  - 1:1 - CBD Drops - 15ml, 240mg THC, 240mg CBD",Feb-19,"461,944.32"
"Kiva Confections - Camino Gummy - Sparkling Pear, 20 Count, 40mg THC, 120mg CBD",Feb-20,"461,619.36"
Private Label - Vape Pen,Nov-20,"461,577.79"
"Infused Pre Roll - Strain Blends - Infused Pre-Rolled, 1.00g, 1 Pack",Jul-20,"461,409.55"
"Papa & Barkley - Releaf Tincture - CBD Rich - 30:1 - 30ml, 30mg THC, 870mg CBD",Dec-19,"459,497.88"
"Plus Products - Gummies - Indica - Unwind - Blackberry Lemon, 20 Count, 90mg THC, 10mg CBD",Aug-20,"459,350.05"
Connected Cannabis Co. - Biscotti - Flower (Gram),Nov-19,"458,872.22"
"Papa & Barkley - Releaf Balm - CBD Rich - 3:1 - 50ml, 150mg THC, 450mg CBD",Dec-18,"458,400.34"
Connected Cannabis Co. - Biscotti - Flower (Gram),Dec-19,"458,175.46"
"Kiva Confections - Camino Gummy - Watermelon Lemonade, 20 Count, 100mg THC",Nov-19,"457,996.15"
"Kiva Confections - Camino Gummy - Sparkling Pear, 20 Count, 40mg THC, 120mg CBD",Jan-20,"457,148.34"
"Papa & Barkley - Releaf Balm - CBD Rich - 3:1 - 15ml, 45mg THC, 135mg CBD",Nov-18,"456,415.56"
"Level - ProTab - Indica, 10 Count, 250mg THC",Aug-20,"456,244.19"
Private Label - Vape Pen,Dec-19,"455,710.18"
"Stiiizy - Pineapple Express - Distillate Cartridge, 1000mg",Sep-20,"455,163.12"
"Kiva Confections - Terra Bites - Blueberry, 20 Count, 100mg THC",Apr-21,"454,534.63"
"Kiva Confections - Camino Gummy - Sparkling Pear, 20 Count, 40mg THC, 120mg CBD",Nov-19,"454,477.05"
Concentrate - Strain Blends - Live Resin,Mar-21,"454,458.52"
Connected Cannabis Co. - Gushers - Flower (Gram),Jan-21,"454,451.40"
"Kiva Confections - Terra Bites - Blueberry, 20 Count, 100mg THC",Jun-20,"453,976.02"
"Kiva Confections - Camino Gummy - Sparkling Pear, 20 Count, 40mg THC, 120mg CBD",Oct-19,"453,064.13"
Concentrate - Strain Blends - Live Resin,Sep-21,"452,514.53"
"Level - ProTab - Indica, 10 Count, 250mg THC",Feb-20,"452,410.36"
"Level - ProTab - Indica, 10 Count, 250mg THC",Jan-20,"452,318.45"
"Level - ProTab - Indica, 10 Count, 250mg THC",Apr-20,"451,044.19"
"Sublime Canna - Mini Fuzzies - OG Kush - Indica - Infused Pre-Rolled, 0.80g, 3 Pack",Dec-20,"450,505.02"
"Kiva Confections - Terra Bites - Blueberry, 20 Count, 100mg THC",Feb-20,"449,895.45"
"Care By Design  - 1:1 - CBD Drops - 15ml, 240mg THC, 240mg CBD",Dec-18,"449,652.65"
"Level - ProTab - Sativa, 10 Count, 250mg THC",Jul-20,"449,494.72"
Connected Cannabis Co. - Gelonade - Flower (Gram),Jan-21,"449,218.69"
"Kiva Confections - Camino Gummy - Sparkling Pear, 20 Count, 40mg THC, 120mg CBD",Nov-20,"448,312.85"
"Stiiizy - Pineapple Express - Distillate Cartridge, 1000mg",Oct-20,"447,193.18"
"Stiiizy - Skywalker OG - Distillate Cartridge, 1000mg",Oct-20,"447,157.74"
Connected Cannabis Co. - Gelonade - Flower (Gram),Feb-20,"446,828.75"
"Level - ProTab - Sativa, 10 Count, 250mg THC",Aug-20,"446,426.71"
"Heavy Hitters - Blue Dream - Distillate Cartridge, 1000mg",Jul-20,"445,875.59"
Fun Uncle - Shotgun OG - Flower (Gram),Oct-20,"445,793.29"
"Kiva Confections - Camino Gummy - Wild Cherry, 20 Count, 100mg THC",Apr-20,"445,748.54"
"Papa & Barkley - Releaf Tincture - CBD Rich - 30:1 - 30ml, 30mg THC, 870mg CBD",Jan-20,"445,498.08"
"Heavy Hitters - Blue Dream - Distillate Cartridge, 1000mg",Dec-18,"445,300.05"
"Infused Pre Roll - Strain Blends - Infused Pre-Rolled, 1.00g, 1 Pack",Feb-21,"445,046.43"
"Stiiizy - Pineapple Express - Distillate Cartridge, 1000mg",Aug-20,"444,691.88"
"Sublime Canna - Mini Fuzzies - OG Kush - Indica - Infused Pre-Rolled, 0.80g, 3 Pack",Jun-20,"444,492.61"
Private Label - Vape Pen,Mar-21,"443,900.39"
"Papa & Barkley - Releaf Balm - CBD Rich - 3:1 - 50ml, 150mg THC, 450mg CBD",Nov-19,"443,138.33"
Source Cannabis - Quest - Flower (Gram),Feb-19,"441,825.05"
"Kiva Confections - Camino Gummy - Wild Cherry, 20 Count, 100mg THC",Mar-20,"440,782.45"
"Stiiizy - Blue Dream - Distillate Cartridge, Blueberry, 1000mg",Sep-20,"440,691.17"
"Plus Products - Gummies - Indica - Unwind - Blackberry Lemon, 20 Count, 90mg THC, 10mg CBD",Dec-18,"440,029.68"
"Infused Pre Roll - Strain Blends - Infused Pre-Rolled, 1.00g, 1 Pack",Mar-20,"438,189.32"
"Papa & Barkley - Releaf Tincture - CBD Rich - 30:1 - 30ml, 30mg THC, 870mg CBD",Mar-20,"438,001.73"
"Plus Products - Gummies - Indica - Unwind - Blackberry Lemon, 20 Count, 90mg THC, 10mg CBD",Dec-20,"437,456.58"
"Sublime Canna - Mini Fuzzies - Super Silver Haze - Sativa - Infused Pre-Rolled, 0.80g, 3 Pack",Nov-20,"436,826.30"
"Heavy Hitters - Blue Dream - Distillate Cartridge, 1000mg",Jun-20,"436,753.50"
"Infused Pre Roll - Strain Blends - Infused Pre-Rolled, 1.00g, 1 Pack",Jan-21,"435,784.48"
"Papa & Barkley - Releaf Balm - THC Rich - 1:3 - 50ml, 300mg THC, 100mg CBD",Jul-19,"435,640.56"
"Papa & Barkley - Releaf Balm - THC Rich - 1:3 - 50ml, 300mg THC, 100mg CBD",Apr-19,"434,402.94"
"Kiva Confections - Terra Bites - Blueberry, 20 Count, 100mg THC",Nov-19,"434,250.73"
"Kiva Confections - Camino Gummy - Sparkling Pear, 20 Count, 40mg THC, 120mg CBD",Aug-19,"434,155.53"
"Papa & Barkley - Releaf Balm - THC Rich - 1:3 - 50ml, 300mg THC, 100mg CBD",Dec-18,"433,866.04"
Private Label - Vape Pen,Jun-21,"433,638.05"
"Stiiizy - Blue Dream - Distillate Cartridge, Blueberry, 1000mg",Oct-20,"433,583.84"
"Level - ProTab - Sativa, 10 Count, 250mg THC",Feb-20,"433,247.76"
Source Cannabis - Quest - Flower (Gram),Sep-20,"432,517.96"
Concentrate - Strain Blends - Oil Cartridge,Jun-21,"432,470.83"
Private Label - Vape Pen,Jan-20,"432,119.04"
"Kiva Confections - Terra Bites - Espresso, 20 Count, 100mg THC",Feb-19,"432,094.93"
"Infused Pre Roll - Strain Blends - Infused Pre-Rolled, 1.00g, 1 Pack",Nov-19,"431,172.86"
Caliva - Alien OG - Flower (Gram),May-20,"431,086.15"
Pacific Stone - Private Reserve OG - Flower (Gram),Sep-19,"431,067.53"
Concentrate - Strain Blends - Oil Cartridge,Feb-19,"430,719.05"
THC Design - Crescendo - Flower (Gram),Apr-21,"430,429.03"
"Kiva Confections - Camino Gummy - Watermelon Lemonade, 20 Count, 100mg THC",Oct-19,"430,315.92"
"Kiva Confections - Terra Bites - Blueberry, 20 Count, 100mg THC",May-20,"430,222.77"
THC Design - Crescendo - Flower (Gram),Aug-21,"429,742.87"
"Stiiizy - Pineapple Express - Distillate Cartridge, 1000mg",Feb-21,"429,475.93"
Pacific Stone - Private Reserve OG - Flower (Gram),Oct-19,"429,428.59"
"Papa & Barkley - Releaf Tincture - CBD Rich - 30:1 - 30ml, 30mg THC, 870mg CBD",Nov-19,"429,292.79"
"Infused Pre Roll - Strain Blends - Infused Pre-Rolled, 1.00g, 1 Pack",Nov-18,"428,128.72"
"Kiva Confections - Terra Bites - Blueberry, 20 Count, 100mg THC",Oct-19,"427,651.25"
Connected Cannabis Co. - Gelonade - Flower (Gram),Apr-21,"427,393.62"
Stiiizy - Vape Pen,Mar-20,"426,475.75"
Pacific Stone - Wedding Cake - Flower (Gram),Jan-20,"426,463.29"
