Products,Months,Total Sales ($)
"Kiva Confections - Camino Gummy - Midnight Blueberry, 20 Count, 100mg THC",Jul-21,"1,502,009.29"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC",Apr-21,"1,501,011.92"
"Kiva Confections - Camino Gummy - Midnight Blueberry, 20 Count, 100mg THC",Jan-21,"1,478,009.80"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC",Jul-20,"1,470,281.69"
"Wyld - Gummies - 2:1 - Indica - 50mg CBN - Elderberry, 10 Count, 100mg THC",Sep-21,"1,468,360.24"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC",Mar-20,"1,458,856.57"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC",May-21,"1,457,099.25"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC",Jul-21,"1,456,829.61"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC",Nov-20,"1,444,879.62"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC",Jul-21,"1,443,032.50"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC",Feb-21,"1,435,109.35"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC",Jun-21,"1,428,415.52"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC",Sep-20,"1,427,146.96"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC",May-21,"1,420,504.46"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC",Aug-20,"1,419,810.97"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC",Oct-20,"1,411,113.75"
"Wyld - Gummies - 2:1 - Indica - 50mg CBN - Elderberry, 10 Count, 100mg THC",May-21,"1,410,685.10"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC",Jun-21,"1,409,404.79"
"Wyld - Gummies - 2:1 - Indica - 50mg CBN - Elderberry, 10 Count, 100mg THC",Apr-21,"1,397,623.51"
"Wyld - Gummies - 2:1 - Indica - 50mg CBN - Elderberry, 10 Count, 100mg THC",Jun-21,"1,395,918.42"
Concentrate - Strain Blends - Distillate Cartridge,Sep-21,"1,388,968.45"
"Kiva Confections - Camino Gummy - Midnight Blueberry, 20 Count, 100mg THC",Sep-20,"1,386,891.63"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC",Jan-21,"1,385,477.45"
"Kiva Confections - Camino Gummy - Midnight Blueberry, 20 Count, 100mg THC",May-21,"1,384,253.29"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC",Mar-20,"1,383,634.76"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC",Jun-20,"1,377,410.29"
Pacific Stone - Wedding Cake - Flower (Gram),Jul-21,"1,364,896.72"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC",Dec-20,"1,363,077.92"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC",Aug-21,"1,358,755.39"
"Wyld - Gummies - 2:1 - Indica - 50mg CBN - Elderberry, 10 Count, 100mg THC",Mar-21,"1,353,567.22"
"Kiva Confections - Camino Gummy - Midnight Blueberry, 20 Count, 100mg THC",Sep-21,"1,350,420.79"
Pacific Stone - Wedding Cake - Flower (Gram),Aug-21,"1,348,395.69"
Pacific Stone - Wedding Cake - Flower (Gram),Jul-20,"1,343,507.96"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC",Aug-21,"1,334,674.51"
"Kiva Confections - Camino Gummy - Midnight Blueberry, 20 Count, 100mg THC",Aug-21,"1,310,790.40"
"Kiva Confections - Camino Gummy - Midnight Blueberry, 20 Count, 100mg THC",Feb-21,"1,305,351.26"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC",Feb-21,"1,300,615.36"
"Kiva Confections - Camino Gummy - Midnight Blueberry, 20 Count, 100mg THC",Mar-21,"1,293,429.26"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC",Sep-21,"1,285,740.64"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC",Sep-21,"1,284,566.47"
"Infused Pre Roll - Strain Blends - Infused Pre-Rolled, 1.00g, 1 Pack",Sep-21,"1,281,131.36"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC",May-20,"1,278,278.68"
Pacific Stone - Wedding Cake - Flower (Gram),Mar-21,"1,264,818.25"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC",Jun-20,"1,262,137.84"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC",Feb-20,"1,259,246.89"
Pacific Stone - Wedding Cake - Flower (Gram),Nov-20,"1,258,928.72"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC",Jan-20,"1,251,318.36"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC",May-20,"1,248,728.14"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC",Apr-20,"1,244,181.66"
Concentrate - Strain Blends - Distillate Cartridge,Jul-21,"1,241,888.70"
"Kiva Confections - Camino Gummy - Midnight Blueberry, 20 Count, 100mg THC",Dec-20,"1,236,707.95"
Pacific Stone - Wedding Cake - Flower (Gram),Apr-21,"1,235,259.30"
"Kiva Confections - Camino Gummy - Midnight Blueberry, 20 Count, 100mg THC",Jun-21,"1,233,638.56"
